track,artistname,artist_count,releasedyear,releasedmonth,releasedday,spotify_playlists,spotify_charts,streams,apple_playlists,apple_charts,deezer_playlists,deezer_charts,shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,country_mb,tags_lastfm
when i r.i.p.,labrinth,1,2019,10,4,2578,0,203680270,8,67,66,0,0,80,g#,minor,39,45,55,73,0,9,21,united kingdom,electronic; british; rnb; dance; r&b; pop; hip-hop; seen live; grime; uk; dubstep; male vocalists; electronica; hip hop; soul; england; labrinth; indie; r'n'b; chillout; electropop; electro; dance-pop; london; drum; bass; nu soul; my; garage; gospel; rhythm and blues; popular; english; 4 stars; gaming; united kingdom; not; geohash:u10j0j252j81; hackney; electro-hop; all; britain; listen to more; alternative hip hop; spotify; bands ive seen live; 6 stars; lovin' it; need more; need to rate
forever,labrinth,1,2019,10,4,3618,0,282883169,21,86,138,0,2,80,e,minor,56,19,46,92,72,11,3,united kingdom,electronic; british; rnb; dance; r&b; pop; hip-hop; seen live; grime; uk; dubstep; male vocalists; electronica; hip hop; soul; england; labrinth; indie; r'n'b; chillout; electropop; electro; dance-pop; london; drum; bass; nu soul; my; garage; gospel; rhythm and blues; popular; english; 4 stars; gaming; united kingdom; not; geohash:u10j0j252j81; hackney; electro-hop; all; britain; listen to more; alternative hip hop; spotify; bands ive seen live; 6 stars; lovin' it; need more; need to rate
all for us - from the hbo original series euphoria,"labrinth, zendaya",2,2019,8,4,5342,0,426204830,33,123,7,0,4,141,d#,major,37,17,67,2,0,34,9,nan,nan
bloody mary,lady gaga,1,2011,1,1,3909,0,372476382,66,26,277,3,734,100,a,minor,59,49,65,2,0,13,3,united states,pop; dance; electronic; female vocalists; female vocalist; lady gaga; electropop; seen live; american; gaga; singer-songwriter; sexy; diva; glam; 00s; dance-pop; electronica; synthpop; legend; dance pop; electro; guilty pleasure; rock; disco; female; party; poker face; hot; usa; mother monster; new york; club; gay; queen of pop; queen; amazing; <3; bitch; love; lady; techno; alternative; rnb; monster; catchy; icon
hold my hand,lady gaga,1,2022,5,3,2528,0,238350348,63,8,270,2,105,148,g,major,51,21,63,5,0,41,3,united states,pop; dance; electronic; female vocalists; female vocalist; lady gaga; electropop; seen live; american; gaga; singer-songwriter; sexy; diva; glam; 00s; dance-pop; electronica; synthpop; legend; dance pop; electro; guilty pleasure; rock; disco; female; party; poker face; hot; usa; mother monster; new york; club; gay; queen of pop; queen; amazing; <3; bitch; love; lady; techno; alternative; rnb; monster; catchy; icon
shallow,"lady gaga, bradley cooper",2,2018,9,27,16636,12,2159346687,368,155,"2,854",6,121,96,g,major,57,30,40,38,0,26,3,nan,nan
radio,lana del rey,1,2011,1,1,9389,46,284819874,24,122,282,3,368,150,d,major,42,20,86,21,0,9,9,united states,female vocalists; indie; indie pop; pop; alternative; american; dream pop; seen live; trip-hop; singer-songwriter; cult; sadcore; legend; lana del rey; chamber pop; baroque pop; female vocalist; alternative pop; retro; art pop; chillout; soul; usa; sexy; new york; rock; hollywood sadcore; indie rock; female; trip hop; jazz; 10s; folk; lana; electronic; blues; 2010s; vintage; alternative rock; overrated; retro pop; beautiful; melancholic; dark pop; hollywood pop; chill; diva; sad; americana
say yes to heaven,lana del rey,1,2023,3,17,2000,46,127567540,49,105,63,1,0,100,f#,minor,49,17,35,71,9,11,3,united states,female vocalists; indie; indie pop; pop; alternative; american; dream pop; seen live; trip-hop; singer-songwriter; cult; sadcore; legend; lana del rey; chamber pop; baroque pop; female vocalist; alternative pop; retro; art pop; chillout; soul; usa; sexy; new york; rock; hollywood sadcore; indie rock; female; trip hop; jazz; 10s; folk; lana; electronic; blues; 2010s; vintage; alternative rock; overrated; retro pop; beautiful; melancholic; dark pop; hollywood pop; chill; diva; sad; americana
summertime sadness,lana del rey,1,2011,1,1,20333,52,983637508,89,143,"1,632",3,200,112,c#,minor,56,24,66,7,0,12,3,united states,female vocalists; indie; indie pop; pop; alternative; american; dream pop; seen live; trip-hop; singer-songwriter; cult; sadcore; legend; lana del rey; chamber pop; baroque pop; female vocalist; alternative pop; retro; art pop; chillout; soul; usa; sexy; new york; rock; hollywood sadcore; indie rock; female; trip hop; jazz; 10s; folk; lana; electronic; blues; 2010s; vintage; alternative rock; overrated; retro pop; beautiful; melancholic; dark pop; hollywood pop; chill; diva; sad; americana
snow on the beach (feat. more lana del rey),"lana del rey, taylor swift",2,2023,5,26,359,2,60350538,1,0,9,0,0,110,f#,minor,66,32,40,81,0,11,3,nan,nan
ojos marrones,lasso,1,2022,2,6,795,11,263280370,26,18,15,1,4,120,g#,minor,81,72,65,4,0,14,4,nan,nan
seven (feat. latto) (explicit ver.),"latto, jung kook",2,2023,7,14,553,147,141381703,43,263,45,10,826,125,b,major,80,89,83,31,0,8,4,nan,nan
flowers,lauren spencer smith,1,2021,8,9,801,0,184826429,42,9,24,1,1,138,d#,major,70,31,44,84,0,9,39,nan,nan
fingers crossed,"lauren spencer smith, lauren spencer smith, lauren spencer smith",3,2022,1,5,2235,0,349585590,65,7,70,16,6,109,f,major,60,45,47,62,0,31,5,nan,nan
10 things i hate about you,leah kate,1,2022,3,23,1301,0,185550869,23,1,15,0,0,154,g#,major,54,45,79,1,0,17,5,nan,nan
zona de perigo,leo santana,1,2022,12,8,531,4,134294498,20,1,71,2,0,135,f,major,81,97,77,75,0,35,3,nan,nan
antifragile,le sserafim,1,2022,10,17,761,12,301051721,23,95,11,0,3,105,a#,minor,88,82,80,8,0,11,8,nan,nan
fearless,le sserafim,1,2022,5,2,629,0,229497852,18,75,9,0,0,104,g,major,86,43,62,5,0,13,14,nan,nan
someone you loved,lewis capaldi,1,2018,11,8,17836,53,2887241814,440,125,"1,800",0,,110,c#,major,50,45,41,75,0,11,3,nan,nan
before you go,lewis capaldi,1,2019,11,1,8327,24,1608045237,205,130,625,0,25,112,d#,major,45,19,60,63,0,9,6,nan,nan
forget me,lewis capaldi,1,2022,9,9,2520,4,239411309,93,95,84,9,202,102,c#,minor,67,72,74,30,0,36,4,nan,nan
afraid to feel,lf system,1,2022,5,2,5898,5,244790012,129,55,128,0,101,128,c#,major,58,68,91,2,0,27,11,nan,nan
people,libianca,1,2022,12,2,3506,56,373199958,105,64,169,8,529,198,a#,minor,59,71,42,55,0,10,7,nan,nan
california breeze,lil baby,1,2022,10,14,991,0,85559365,36,38,13,0,3,162,f,minor,74,22,67,0,0,11,46,nan,nan
right on,lil baby,1,2022,4,8,1116,0,101780047,31,9,15,0,1,166,d,major,70,22,61,2,0,10,34,nan,nan
stand by me (feat. morgan wallen),"lil durk, morgan wallen",2,2023,5,26,381,5,46065667,23,82,6,0,113,134,b,major,76,61,58,6,0,16,3,nan,nan
star walkin' (league of legends worlds anthem),lil nas x,1,2022,9,22,2616,0,332506354,113,17,208,0,192,142,d,minor,64,31,72,15,0,9,5,nan,nan
thats what i want,lil nas x,1,2021,9,17,7963,0,920797189,173,7,298,0,4,88,c#,minor,74,55,85,1,0,5,22,nan,nan
montero (call me by your name),lil nas x,1,2020,9,18,12329,0,1735441776,275,19,738,0,,179,g#,minor,61,76,51,30,0,38,15,nan,nan
in my head,lil tjay,1,2022,4,1,1185,0,190981339,21,0,31,0,0,143,c#,major,68,41,55,16,0,10,12,nan,nan
just wanna rock,lil uzi vert,1,2022,10,17,3995,13,457184829,72,27,47,0,0,150,b,major,49,4,55,7,0,6,3,nan,nan
poland,lil yachty,1,2022,6,23,1584,0,115331792,38,0,24,0,0,150,f,minor,70,26,56,14,83,11,5,united states,nan
numb,linkin park,1,2003,3,24,20111,5,1361425037,39,0,"7,341",0,0,110,a,major,50,24,86,0,0,64,4,united states,rock; nu metal; alternative rock; alternative; metal; seen live; rapcore; linkin park; nu-metal; alternative metal; american; hard rock; crossover; punk; electronic; pop; rap; rap rock; rap metal; emo; male vocalists; hip-hop; pop rock; usa; punk rock; lp; 00s; new metal; favorites; not metal; indie; linkin; shit; california; electronic rock; rap-rock
in the end,linkin park,1,2000,10,24,25065,6,1624165576,63,0,"6,808",2,0,105,d#,minor,55,40,90,1,0,32,6,united states,rock; nu metal; alternative rock; alternative; metal; seen live; rapcore; linkin park; nu-metal; alternative metal; american; hard rock; crossover; punk; electronic; pop; rap; rap rock; rap metal; emo; male vocalists; hip-hop; pop rock; usa; punk rock; lp; 00s; new metal; favorites; not metal; indie; linkin; shit; california; electronic rock; rap-rock
money,lisa,1,2021,9,10,2566,13,863625566,44,109,131,0,,140,c#,minor,83,40,55,16,0,14,23,japan,j-pop; japanese; female vocalists; jpop; anime; hip-hop; pop; dance; j-urban; hi-nrg; italian; j-rock; synthpop; italo disco; 80s; italo; rnb; japan; singer-songwriter; lisa; rock; female; japanese music; italia; disco; pop rock; urban; kpop; j-rnb; san remo; soundtrack; seen live; r&b; asian; italy; english; anime ost; j-music; electronic; hip hop; alternative; solo; r and b; k-pop; dutch; female vocalist; ballad; chinese; colombian; jrock; eurobeat; c-pop; x-factor; aleyster crowley; mucajai; argeu california; don kalifa; caracarai; girls dead monster; aleystercrowley; simplesdemais; os putos brothers; silva alhandra; encontro dos famosos; italian girl; gidemo; spanish; french; alternative rock; reggae; emo; sexy; indie pop; piano; power ballad; house; singer; soundtracks; hiphop; punk rock; composer; pop punk; favorite artists; california; german; korean; female vocals; queer; 00s; hot; pop-rock; love at first listen; cantonese; omfg; vocalist; dutch artist; music; j-rap; ballads; favourite artists
entre nosotros (remix) [con nicki nicole],"lit killah, maria becerra, tiago pzk, nicki nicole",4,2022,1,5,759,3,236940480,32,0,12,0,0,170,f,minor,70,61,44,40,0,37,4,nan,nan
about damn time,lizzo,1,2022,7,15,2332,2,723894473,0,0,25,0,0,109,a#,minor,84,72,74,10,0,34,7,nan,nan
about damn time,lizzo,1,2022,4,14,9021,0,723894473,242,49,272,21,24,109,a#,minor,84,72,74,10,0,34,7,nan,nan
2 be loved (am i ready),lizzo,1,2022,7,14,3682,6,247689123,41,0,158,2,68,156,g,major,72,92,77,9,0,8,11,nan,nan
ceilings,lizzy mcalpine,1,2022,4,8,3242,9,293186992,67,55,48,0,6,148,a,major,51,27,33,48,0,22,3,nan,nan
the night we met,lord huron,1,2015,2,2,18515,35,1410088830,70,82,939,1,162,174,d,major,45,10,37,97,25,64,4,united states,folk; seen live; psychedelic; indie; indie pop; lionkingcore; indie folk; american; singer-songwriter; male vocalists; tropical; pop; rock; usa; los angeles; 10s; michigan; alternative; california; all; experimental; indie rock; folk-pop; psychedelic pop; folk rock; classic rock; electronic; rockabilly; country; alternative rock; surf; sad; solo; acoustic; baroque pop; london; dreamy; seenlive; like; discovery; tribal; psychedelic folk; singer songwriter; surf rock; alternative folk; 00's; 2011; grey's anatomy; check out; reverb; best of 2010; best lyrics; 2012; fresh; radio paradise; radioparadise; favs; to check out; geotagged; united states; geohash:9q5ctns; geohash:9q5ctnsgxk11; geohash:dpegn8md8ezu; okemos; wanderlust; listen; best of 2013; singable; luisterpaal; listen later; birp; -; all-time favorites; indie folk pop; bands i've seen live; hairy chest; 000; psycho-folk; :to listen to again later:; los angeles ca; yy; stomp clap; seen live - small venue; seen live - once; seen live more than twice; indi folk; to listen for jan; -malanhoern; best male voices ever; mark barry; brett farkas; karl kerfoot; tom renaud; ben schneider; peter mowry; miguel briseno; second look; post-modern surf; merman pop; pleased to meet you
tattoo,loreen,1,2023,2,25,2988,59,201660859,74,102,145,18,925,150,d#,minor,55,30,78,24,0,12,8,sweden,pop; swedish; female vocalists; eurovision; dance; electronic; sweden; melodifestivalen; seen live; eurodance; electropop; trance; chillout; eurovision song contest; chill; world; 3; world music; sunflower; skitz0rz; uitluisteren artist; holloween skitz0rz; fav888; my dance room; singer-songwriter; female vocalist; moroccan; dance-pop; scandinavian; dance pop; swedish pop; loreen; indie; alternative; house; nordic; female vocal; 2010s; europop; sverige; eurovision winner; all; esc; if this were a pokemon i would catch it; swedish idol; swedish female singers
where are you now,"lost frequencies, calum scott",2,2021,7,30,10565,44,972509632,238,122,557,17,58,121,f#,minor,67,26,64,52,0,17,10,nan,nan
caile,luar la l,1,2020,12,18,1494,2,273914335,17,12,15,0,0,122,nan,major,70,46,76,30,0,9,45,nan,nan
beautiful girl,luciano,1,2022,4,22,710,4,160035717,16,11,18,0,0,140,b,minor,84,61,42,31,0,9,9,jamaica,reggae; minimal; roots reggae; techno; roots; dancehall; seen live; electronic; minimal techno; ragga; rasta; dub; house; jamaica; tech house; luciano; cadenza; concious; roots and culture; microhouse; jamaican; concious reggae; minimal house; electronica; rap; lions reggae-dancehall; reggae ragga dub; idm; deep house; luciano great raggae; singer; techhouse; deutschrap; conscious; minimal house techno; hip-hop; ambient; experimental; dance; german; male vocalists; chile; trap; caribbean riddim; locosquad
bamba (feat. aitch & bia),"luciano, aitch, bï¿½",3,2022,9,22,869,7,146223492,14,12,12,2,28,138,a#,major,80,82,81,14,0,13,36,nan,nan
con la brisa,"ludwig goransson, foudeqush",2,2022,11,4,486,0,71095708,8,1,7,0,0,114,d,minor,62,25,44,51,33,14,3,nan,nan
sentadona (remix) s2,"luï¿½ï¿½sa sonza, mc frog, dj gabriel do borel, davi k",4,2022,3,17,870,0,176290831,32,0,49,0,0,135,d#,minor,93,77,45,25,0,13,27,nan,nan
jgl,"luis r conriquez, la adictiva",2,2022,2,18,782,9,323455692,15,33,6,1,0,113,g#,major,70,97,59,55,0,27,12,nan,nan
fast car,luke combs,1,2023,3,24,1446,12,157058870,57,97,35,0,429,98,g#,major,71,67,60,19,0,12,3,nan,nan
down under (feat. colin hay),"luude, colin hay",2,2021,11,19,3541,2,252871192,57,13,50,1,7,172,b,minor,31,4,86,1,0,28,17,nan,nan
antidepresan,"mabel matiz, mert demir",2,2022,11,4,313,2,136689549,10,6,7,1,9,100,b,minor,70,92,59,3,0,10,3,nan,nan
heart to heart,mac demarco,1,2019,5,10,1640,0,244658767,27,27,29,1,1,150,g#,minor,90,64,14,67,35,11,10,canada,lo-fi; indie; seen live; experimental; post-punk; indie rock; jangle pop; 80s-influenced; jizz jazz; canadian; singer-songwriter; indie pop; psychedelic pop; rock; canada; psychedelic; dream pop; psychedelic rock; alternative; surf rock; slacker rock; jizz-jazz; pop; surf; shoegaze; alternative rock; folk; garage rock; hypnagogic pop; lo-fi indie; art rock; folk rock; male vocalists; 10s; british columbia; chill; experimental rock; avant-garde; glam; chillwave; 2010s; duncan; alt-country; glam rock; psychedelic folk; vancouver; neo-psychedelia; all; canadians; art pop; surfgaze; goofball
if we ever broke up,mae stephens,1,2023,2,10,2040,4,165584767,81,27,66,9,444,116,g,major,90,96,73,62,0,9,4,nan,nan
sial,mahalini,1,2023,1,23,134,4,166570053,4,6,0,0,23,120,d,major,56,20,43,89,0,12,4,nan,nan
brividi,"mahmood, blanco",2,2022,2,2,1175,0,135079152,34,1,31,0,0,123,g,major,52,44,60,40,0,26,3,nan,nan
212,"mainstreet, chefin",2,2022,1,15,352,0,143139338,10,0,39,0,0,154,d,minor,79,86,52,66,0,9,7,nan,nan
gatï¿½ï¿½,"maldy, karol g",2,2022,8,25,3328,13,322336177,39,50,57,3,1,93,b,minor,63,34,86,26,0,21,39,nan,nan
sobrio,maluma,1,2021,7,8,3506,10,513643924,103,76,100,1,1,178,f,major,76,63,77,14,0,15,22,colombia,mierda; brutal death metal; black metal; shit; metal; basura; death metal; crap; justin bieber; latin; reggaeton; pop; officially shit; colombia; latin pop; hot; bullshit; sexy; male vocalists; colombian; caca; justin biever; spanish; female vocalists; american; latino; dance pop; pop en espanol; under 2000 listeners; 10s; deathcore; columbia; all; south america; satanic black metal; thall; popo; guiso; lauris; lubo; latin grammy nominee; antioquia; pop gay; sexy male; tagme; reggaeton colombiano; maluma; latina urbana
mejor que yo,"mambo kingz, dj luian, anuel aa",3,2023,5,4,675,1,50847624,9,13,11,0,1,178,c#,minor,62,56,66,18,0,12,5,nan,nan
mas rica que ayer,"mambo kingz, dj luian, anuel aa",3,2023,3,2,1208,34,146409671,10,41,20,0,1,94,b,major,82,53,67,34,0,9,8,nan,nan
la bachata,manuel turizo,1,2022,5,26,6804,45,1214083358,139,111,161,15,210,125,g,minor,84,85,68,58,0,22,4,colombia,nan
leï¿½,marï¿½ï¿½lia mendo,1,2022,12,9,993,4,267789608,30,84,88,1,28,130,f#,major,74,79,87,45,0,30,3,nan,nan
vai lï¿½ï¿½ em casa,"marï¿½ï¿½lia mendonï¿½ï¿½a, george henrique &",2,2021,10,22,772,0,263894529,7,3,89,0,0,158,g#,minor,46,62,83,53,0,97,28,nan,nan
mal feito - ao vivo,"marï¿½ï¿½lia mendonï¿½ï¿½a, hugo & g",2,2022,1,14,971,2,291709698,35,104,93,1,0,124,nan,minor,73,68,83,55,0,90,7,nan,nan
esqueï¿½ï¿½a-me se for c,"marï¿½ï¿½lia mendonï¿½ï¿½a, maiara &",2,2021,10,14,580,0,258316038,24,92,93,0,0,122,f#,minor,80,62,69,28,0,13,7,nan,nan
corazï¿½ï¿½n va,maria becerra,1,2023,6,22,370,20,43857627,12,16,18,4,93,98,c#,major,68,40,79,33,0,30,6,nan,nan
all i want for christmas is you,mariah carey,1,1994,10,28,25653,0,1449779435,387,132,"2,094",0,,150,g,major,34,33,63,16,0,7,4,united states,pop; rnb; female vocalists; soul; mariah carey; hip-hop; 90s; female; diva; american; r&b; dance; female vocalist; r and b; singer-songwriter; mariah; 00s; hip hop; sexy; legend; urban; love; ballad; seen live; christmas; love songs; ballads; beautiful; rhythm and blues; rock; usa; vocal; adult contemporary; 80s; skinny legend; sweet; female vocals; english; romantic; amazing; mimi; alternative; divas; favorites; dance-pop; jazz; female artists; favourite artists; mc
memories,maroon 5,1,2019,9,20,9974,2,1759567999,272,67,"1,066",1,19,91,b,major,77,60,32,84,0,8,5,united states,rock; pop; pop rock; alternative; alternative rock; seen live; maroon 5; indie; american; male vocalists; funk; pop-rock; soft rock; 00s; indie rock; funk rock; favorites; punk; maroon5; soul; singer-songwriter; dance; love; usa; emo; indie pop; jazz; california; classic rock; punk rock; acoustic rock; chill; acoustic; male vocalist; electronic; male; britpop; metal; english
payphone,"maroon 5, wiz khalifa",2,2012,1,1,14143,4,1479264469,56,38,"1,891",1,,110,e,major,74,51,74,2,0,29,4,nan,nan
leave before you love me (with jonas brothers),"marshmello, jonas brothers",2,2021,4,28,4893,4,651732901,143,24,110,0,70,120,g,major,72,67,72,0,0,13,4,nan,nan
bye bye,"marshmello, juice wrld",2,2022,10,14,766,0,84697729,16,0,9,0,0,83,d#,minor,65,24,53,6,0,51,4,nan,nan
numb,"marshmello, khalid",2,2022,6,10,3879,2,295307001,107,76,86,1,9,120,nan,minor,91,63,77,12,1,10,5,nan,nan
el merengue,"marshmello, manuel turizo",2,2023,3,3,2114,44,223633238,80,75,110,11,323,124,g#,minor,78,70,68,3,1,11,4,nan,nan
astronaut in the ocean,masked wolf,1,2019,1,1,7191,0,1138474110,146,18,478,0,7,150,e,minor,78,47,70,18,0,15,9,nan,nan
vampiro,"matuï¿½ï¿½, wiu,",3,2022,1,30,540,4,187772591,26,3,39,0,0,115,g#,minor,78,63,64,1,0,7,4,nan,nan
cartï¿½ï¿½o b,"mc caverinha, kayblack",2,2023,5,11,269,4,71573339,7,2,30,1,11,108,a,minor,84,55,47,26,0,20,64,nan,nan
novidade na ï¿½ï¿,"mc livinho, dj matt d",2,2023,6,23,267,9,39709092,9,6,25,2,72,130,f,major,63,36,34,76,0,35,9,nan,nan
"gol bolinha, gol quadrado 2","mc pedrinho, dj 900",2,2023,6,1,293,8,11956641,5,2,30,2,66,133,b,minor,93,68,65,42,0,12,25,nan,nan
danï¿½ï¿½a,"mc pedrinho, pedro sampaio",2,2022,2,1,911,2,208166039,45,0,99,1,1,135,a,minor,78,55,57,4,0,10,8,nan,nan
casei com a putaria,"mc ryan sp, love funk, mc paiva zs",3,2022,7,1,648,4,187701588,0,0,30,0,0,161,a#,minor,59,62,60,12,0,5,44,nan,nan
baile no morro,"mc vitin da igrejinha, mc tairon, dj win",3,2022,6,10,685,2,129314708,17,0,24,0,30,130,d#,minor,71,78,40,46,0,7,45,nan,nan
sem alianï¿½ï¿½a no,"mc xenon, os gemeos da putaria",2,2022,12,23,454,4,93587665,6,1,21,0,1,83,c#,major,53,40,36,73,0,11,33,nan,nan
made you look,meghan trainor,1,2022,10,21,3956,6,502574952,142,23,127,3,16,145,a#,major,84,88,53,35,0,8,7,united states,pop; soul; female vocalists; american; jazz; rock; singer-songwriter; rnb; doo wop; 10s; badabes; usa; dance; blue-eyed soul; easy listening; female vocalist; officially shit; pop rock; acoustic; love at first listen; massachusetts; fatcore; ariana grande; nick jonas; who the fuck gave this bitch a microphone; ella henderson; hip-hop; electronic; seen live; female; hip hop; 2009; indie pop; catchy; dance-pop; awesome; retro; upbeat; fat; radio; r&b; party; favorite artists; death metal; relaxing; doo-wop; singer-songwriters; harmonies; drum & bass; annoying; awful; 2010s; girl; soul pop; us; united states; 2014; all things annoying in the world put together into one stupid bitch; horrible; scene; love at first sound; retro pop; talented; bitch; farofeira; chubby; fat bitch; strong voice; american pop; who gave this bitch a microphone; listened but not scrobbled; hitmaker; meghan trainor; massachusettsan; fifth harmony; body positive; 2014 favourite; jessie j ariana grande nicki minaj; dont cuss; dont deny it she has a great voice; shutup ppl she is awesome; yeah im a cat typing on a computer what are you gonna do about it; mixed-pop; voices i hate; maneimisnou
void,melanie martinez,1,2023,3,29,596,0,67070410,29,9,12,0,52,100,a,major,72,42,66,18,4,19,4,united states,pop; indie; female vocalists; indie pop; alternative; the voice; electropop; gothic pop; dark pop; singer-songwriter; american; rapist; indie folk; electronic; seen live; alternative rock; usa; gothic; synthpop; alternative pop; hip-hop; female; rock; folk; new york; darkwave; female vocalist; dark wave; bubblegum pop; all; famale vocalists; melanie martinez; chillout; electronica; chill; british; experimental; indie rock; rip; dark; acoustic; world; fantastic; cover; 3; unique; ethereal; rnb; favourite; somber; world music; lovely; love at first listen; female singers; trap; new york city; 2; 10s; 2010s; uk bass; music; creepy; queens; long island; united states; sunflower; sxsw 2015; astoria; lolipop; rape; art pop; experimental electronic; disgusting; pedocore; contemporary rnb; hip-house; pedophile; great vocals; smutne pipczenie dla 14latek; tumblr; seen life; pop princess; baldwin; bubblegoth; ariana grande; inna; 2019; skitz0rz; rainha; uitluisteren artist; gothicpop; famale; tumblr pop; violation; nayer; felon; loli pop; consent; born in 1995; holloween skitz0rz
pipoco,"melody, ana castela, dj chris no beat",3,2022,5,20,1112,4,191873381,22,2,65,1,3,135,g#,major,77,74,74,47,0,34,8,nan,nan
master of puppets (remastered),metallica,1,1986,3,3,6080,0,704171068,112,198,406,1,0,105,e,minor,54,59,83,0,44,20,4,united states,thrash metal; metal; heavy metal; hard rock; rock; seen live; metallica; speed metal; classic rock; american; thrash; 80s; trash metal; 90s; emo; usa; alternative; classic metal; progressive metal; alternative rock; heavy; legends; power metal
self love (spider-man: across the spider-verse) (metro boomin & coi leray),"metro boomin, coi leray",2,2023,6,2,332,5,70106975,18,41,5,0,19,120,a,major,78,5,30,21,0,13,5,nan,nan
i wanna be your slave,mï¿½ï¿½ne,1,2021,3,19,4873,0,851070493,65,88,434,3,13,133,c#,major,75,96,61,0,0,18,4,nan,nan
the loneliest,mï¿½ï¿½ne,1,2022,10,7,1585,5,225093344,78,65,328,1,198,130,d,major,52,24,60,0,0,8,3,nan,nan
beggin,mï¿½ï¿½ne,1,2017,12,8,8559,0,1367810478,183,64,964,9,75,134,b,minor,71,59,80,13,0,36,5,nan,nan
supermodel,mï¿½ï¿½ne,1,2022,5,13,2265,0,231657891,93,12,173,11,3,121,g,major,64,80,88,0,0,12,6,nan,nan
it's beginning to look a lot like christmas,michael bublï¿,1,2011,10,14,12353,0,807561936,35,0,549,0,0,93,e,major,35,38,23,91,0,29,3,nan,nan
holly jolly christmas,michael bublï¿,1,2011,10,14,7655,0,476244795,5,0,291,0,0,151,g,major,65,70,47,87,0,9,4,nan,nan
mercho,"migrantes, lil cake, nico valdi",3,2022,12,16,1267,20,231332117,41,22,56,4,84,93,f#,minor,84,96,79,43,0,18,11,nan,nan
sure thing,miguel,1,2010,5,25,13801,19,950906471,137,125,435,6,285,81,b,minor,68,51,60,3,0,19,10,united states,rnb; soul; r&b; hip-hop; seen live; pop; miguel; male vocalists; hip hop; neo-soul; funk; american; neo soul; alternative rnb; rock; rap; california; los angeles; contemporary r&b; sexy; 10s; tonio anthony; electronic; love; my favorite track; alternative; dance; swing; smooth; r and b; finnish; rhythm and blues; 00s; english; 2010; 2010s; san pedro; us; r'n'b; all; contemporary rnb; r n b; prog-rnb; pbrnb; merk; contemporary rhythm and blues; indie rnb; foot fetish; 2 times; alternative rhythm and blues
angels like you,miley cyrus,1,2020,11,27,3372,19,570515054,65,48,138,1,102,122,f,major,67,49,64,10,0,10,3,united states,pop; female vocalists; disney; dance; guilty pleasure; miley cyrus; better than selena gomez; urban; pop rock; better than demi lovato; american; rock; better than ariana grande; teen pop; miley; hannah montana; electronic; rnb; female vocalist; hip-hop; brutal death metal; sexy; seen live; female; country; better than lady gaga; better than taylor swift; <3; better than katy perry; 00s; bitch; whore; better than madonna; all things annoying in the world put together into one stupid bitch; disney channel; better than beyonce; electropop; beautiful; shit; love; slut; disneycore; soundtrack; catchy; diva; deathcore; better than radiohead; death metal; guilty pleasures; dance-pop; amazing; teen; cyrus; hot; crap; alternative; singer-songwriter; dance pop; country pop; the worst thing ever to happen to music; attention whore; epic; jonas brothers; the climb; grindcore; usa; officially shit; demi lovato; 7 things; better than michael jackson; better than cher
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716,300,215,745,58,"1,021",118,nan,major,71,65,68,6,0,3,7,united states,pop; female vocalists; disney; dance; guilty pleasure; miley cyrus; better than selena gomez; urban; pop rock; better than demi lovato; american; rock; better than ariana grande; teen pop; miley; hannah montana; electronic; rnb; female vocalist; hip-hop; brutal death metal; sexy; seen live; female; country; better than lady gaga; better than taylor swift; <3; better than katy perry; 00s; bitch; whore; better than madonna; all things annoying in the world put together into one stupid bitch; disney channel; better than beyonce; electropop; beautiful; shit; love; slut; disneycore; soundtrack; catchy; diva; deathcore; better than radiohead; death metal; guilty pleasures; dance-pop; amazing; teen; cyrus; hot; crap; alternative; singer-songwriter; dance pop; country pop; the worst thing ever to happen to music; attention whore; epic; jonas brothers; the climb; grindcore; usa; officially shit; demi lovato; 7 things; better than michael jackson; better than cher
where did you go?,"mnek, jax jones",2,2022,1,26,4531,0,300983101,135,74,119,1,18,127,a#,major,77,53,78,19,0,29,4,nan,nan
last night,morgan wallen,1,2023,1,31,2420,19,429829812,52,107,15,1,325,204,f#,major,52,52,68,46,0,15,4,nan,nan
you proof,morgan wallen,1,2022,5,13,2128,9,367814306,37,88,9,0,14,120,a,major,73,64,85,25,0,61,3,nan,nan
ainï¿½ï¿½ï¿½t tha,morgan wallen,1,2023,3,3,356,4,88791109,4,20,0,0,0,121,f#,minor,64,67,80,0,0,36,3,nan,nan
everything i love,morgan wallen,1,2023,1,31,579,0,95623148,11,54,0,0,103,104,g#,major,56,72,85,0,0,15,3,nan,nan
ýýý98 braves,morgan wallen,1,2023,3,3,282,0,56533272,6,15,0,0,0,142,d,major,49,48,67,10,0,26,3,nan,nan
thought you should know,morgan wallen,1,2022,5,6,968,4,203221468,16,53,1,0,61,140,f#,major,53,51,70,49,0,14,3,nan,nan
born with a beer in my hand,morgan wallen,1,2023,3,3,203,0,34450974,5,9,0,0,0,148,nan,major,53,61,81,5,0,36,4,nan,nan
thinkinï¿½ï¿½ï¿½ b,morgan wallen,1,2023,3,3,604,6,125917280,22,101,0,0,66,140,d#,minor,66,43,76,49,0,12,3,nan,nan
one thing at a time,morgan wallen,1,2022,12,2,811,4,148469433,11,58,5,0,21,142,g,major,61,92,91,0,0,26,3,nan,nan
